,job,company,ssn,residence,current_location,blood_group,website,username,name,sex,address,mail,birthdate
10,"Psychologist, clinical",Arellano y Fuentes S. R.L. de C.V.,90989234985,"Boulevard Sur Roybal 223 Edif. 710 , Depto. 370
San Minerva de la Montaña, BC 39943","(Decimal('-73.222690'), Decimal('-79.867305'))",A+,"['http://www.baca.biz/', 'http://manzanares.org/']",estevezines,Israel Sánchez,M,"Privada Bernal 609 Interior 031
Nueva Líbano, OAX 81065-5314",virginiaaparicio@yahoo.com,1997-10-16
11,"Engineer, manufacturing",Espinoza-Vaca,67808499049,"Callejón San Vicente y las Granadinas 535 Edif. 201 , Depto. 184
San Ángel los bajos, CAMP 62868-4181","(Decimal('-83.5590885'), Decimal('-52.746724'))",AB-,"['http://mendez-pacheco.com/', 'https://www.despacho.com/', 'http://www.despacho.net/', 'https://ulibarri.com/']",teresa94,Norma Pedroza Casanova,M,"Avenida Distrito Federal 019 565
Vieja Guyana, YUC 07106",genaromena@gmail.com,2003-03-31
12,Applications developer,Ybarra-Estévez,81248440307,"Retorno Bahrein 188 645
San Lucía los altos, COAH 24296-0454","(Decimal('-3.370891'), Decimal('-87.014088'))",A-,"['http://orosco-meraz.biz/', 'http://www.industrias.com/', 'https://corporacin.net/', 'https://urias.com/']",villasenormarisol,Mauro Jurado Ortiz,F,"Callejón Norte Bétancourt 326 Interior 401
San María José de la Montaña, GTO 61319",emilia35@yahoo.com,1907-09-28
13,"Teacher, adult education",Maldonado y Godínez e Hijos,31555826929,"Viaducto Swazilandia 153 Interior 728
San Alfredo de la Montaña, DGO 75610-5295","(Decimal('75.1415235'), Decimal('-8.203834'))",AB+,"['https://despacho.com/', 'https://www.munoz.com/', 'https://ochoa-portillo.com/']",liliana69,Mateo Gabriela Marroquín Acosta,M,"Viaducto Tabasco 544 Edif. 068 , Depto. 662
San Rolando los bajos, YUC 22877",migueltorres@hotmail.com,1912-06-24
14,Medical secretary,"Rosario, Ocasio y Armas",42886031808,"Eje vial Libia 138 Interior 122
San Estefanía los altos, JAL 08028-2730","(Decimal('25.553160'), Decimal('-123.788289'))",AB+,"['https://iglesias-dominguez.com/', 'http://proyectos.com/', 'https://despacho.net/', 'http://grupo.org/']",yeni29,Dr. Angélica Noriega,F,"Eje vial Norte Montoya 492 Edif. 236 , Depto. 986
Vieja Rumania, PUE 01265-3025",del-riojose-eduardo@yahoo.com,1937-07-05
15,"Civil engineer, contracting",Olivares S. R.L. de C.V.,92245368136,"Boulevard Castro 151 Interior 416
Nueva Camboya, GRO 18309","(Decimal('26.4608355'), Decimal('17.111576'))",B+,"['https://fierro.info/', 'https://www.altamirano.com/']",msevilla,Rocío Olivia Valenzuela Arguello,F,"Boulevard Suecia 768 Edif. 432 , Depto. 952
Vieja Irlanda, DGO 05042",guillenpablo@gmail.com,1941-01-26
16,Printmaker,Laboratorios Vargas-Maya,12382109408,"Privada Barbados 710 Interior 638
Nueva Federación de Rusia, JAL 08772-7818","(Decimal('46.365710'), Decimal('-153.426048'))",B+,"['http://valdez.net/', 'https://www.baez.biz/', 'https://caban.org/', 'https://melgar.com/']",horosco,Cristina Madrigal,F,"Diagonal Sinaloa 949 Edif. 287 , Depto. 578
San Angélica los bajos, COAH 31403",ayalajeronimo@gmail.com,1940-05-12
17,Orthoptist,Garay y Narváez e Hijos,12925099314,"Cerrada Terán 093 367
San Tania los bajos, BCS 47372","(Decimal('-89.2833175'), Decimal('174.145548'))",B-,"['http://www.negron.biz/', 'http://www.osorio.org/', 'http://www.montero-olvera.com/', 'https://rivas.com/']",mzamora,Ing. Eric Castro,M,"Callejón Querétaro 177 Edif. 543 , Depto. 819
Vieja Granada, DGO 66855-1178",timoteo58@hotmail.com,1988-04-25
18,Data scientist,Bernal y Ojeda e Hijos,19807909874,"Continuación Norte Hurtado 787 400
San Abril los bajos, VER 20098","(Decimal('-84.8490035'), Decimal('-177.026456'))",B+,['https://www.laboratorios.com/'],fpacheco,Ing. Noelia Saucedo,M,"Continuación Norte Ibarra 313 084
San Salvador los altos, ZAC 45182-9450",ana-maria46@gmail.com,2022-01-27
19,"Administrator, local government",Despacho Sanches y Alarcón,05890043317,"Diagonal Guanajuato 578 Edif. 052 , Depto. 874
Nueva Togo, SON 13093","(Decimal('35.2691595'), Decimal('154.016722'))",O-,"['https://ontiveros-urias.com/', 'http://www.laboratorios.com/', 'http://www.ontiveros-fernandez.com/']",del-riosusana,Mtro. Delia Quesada,F,"Circuito Myanmar 746 Interior 105
Nueva Guinea Ecuatorial, CAMP 52638-4361",arturo86@yahoo.com,1913-09-22
20,Animal technologist,Despacho Mata-Moya,41056671955,"Retorno Leal 843 Edif. 279 , Depto. 523
San Ivonne los altos, GRO 82471","(Decimal('39.8915565'), Decimal('-138.878747'))",AB+,"['http://corrales.com/', 'http://brito.com/', 'http://www.fernandez-quinones.com/', 'https://escobar-abreu.info/']",ontiverosuriel,Renato Zamudio Centeno,F,"Eje vial Eslovaquia 422 575
San Elias los bajos, YUC 46415",hayala@gmail.com,1947-07-30
21,"Restaurant manager, fast food",Galarza-Ponce,15044068821,"Eje vial Zacatecas 613 427
Vieja Austria, VER 40115","(Decimal('-54.995136'), Decimal('-87.358167'))",B+,"['https://www.saavedra-romero.com/', 'http://www.laboratorios.org/', 'http://grupo.com/']",cepedaignacio,Guillermina Samuel Benavídez Feliciano,M,"Viaducto Palau 755 Interior 124
Nueva Vietman, HGO 12572-1702",lorenzo66@yahoo.com,2016-08-26
22,Lexicographer,"Club Estrada, Almanza y Aguilar",62790452460,"Viaducto Coahuila de Zaragoza 451 Edif. 564 , Depto. 256
Nueva Guinea Ecuatorial, NAY 34051","(Decimal('64.644672'), Decimal('-40.497520'))",O-,"['http://proyectos.com/', 'https://www.davila.biz/']",taniaanguiano,Cecilia Paredes,F,"Ampliación Sur Ceja 198 Interior 603
Vieja Iraq, MOR 21359",penalourdes@gmail.com,1906-09-10
23,Pensions consultant,"Despacho Alcántar, Padrón y Nieto",53562238161,"Cerrada Zacatecas 136 Interior 092
San Amalia los altos, MOR 60620","(Decimal('9.3105465'), Decimal('153.689415'))",B+,['https://trejo.biz/'],borregopedro,Alvaro Cintrón,F,"Eje vial Cruz 533 Interior 429
Nueva Mozambique, SLP 59121",renato35@hotmail.com,1945-08-25
24,Customer service manager,Melgar y Estrada A.C.,85290342337,"Eje vial Sonora 605 880
Nueva Seychelles, NAY 93220","(Decimal('-53.5088795'), Decimal('-150.762960'))",AB-,"['https://rosario.com/', 'https://arredondo.com/', 'http://club.net/', 'https://proyectos.org/']",carias,Antonio Rufino Vargas,F,"Boulevard Venezuela 428 569
San Asunción de la Montaña, ZAC 12874",obustos@yahoo.com,1911-05-09
25,Market researcher,Becerra-Pantoja,83132855392,"Prolongación Finlandia 892 Interior 181
Vieja Portugal, MEX 37998-9870","(Decimal('-71.2186475'), Decimal('-81.297488'))",O+,"['http://www.industrias.net/', 'https://regalado.com/', 'https://www.proyectos.biz/']",zavalaangel,Eloy Ana Luisa Carrasco,F,"Calzada Alemania 682 331
San Elena los bajos, CHIH 94791-6650",barrioseloisa@yahoo.com,1978-09-12
26,"Nurse, learning disability",Grupo Cantú-Báez,38637378597,"Peatonal Grecia 349 Interior 423
Nueva Guatemala, OAX 71710","(Decimal('45.920149'), Decimal('127.512218'))",B+,"['http://www.baeza-barela.com/', 'https://aviles-alvarado.info/']",claudiagaribay,Esparta María José Calderón,M,"Corredor Sur Varela 556 Interior 458
Nueva Montenegro, TAMPS 61153-0281",amolina@gmail.com,1907-06-07
27,Tour manager,Colón-Cavazos S.A.,14014092515,"Avenida Montenegro 274 Interior 024
San Jacobo los altos, MEX 35611-3648","(Decimal('53.5127075'), Decimal('57.620214'))",AB+,"['http://www.grupo.com/', 'https://carrasco.com/', 'http://www.gaytan.com/']",hvillarreal,Débora Eduardo Samaniego Camacho,F,"Continuación Hidalgo 844 Edif. 355 , Depto. 643
Nueva El Salvador, SLP 40231-6617",miguel09@hotmail.com,1954-09-08
28,Medical illustrator,"Tamayo, Ferrer y Zepeda",82718843699,"Calzada Durango 800 Edif. 658 , Depto. 155
San María Teresa los bajos, MEX 01430-6661","(Decimal('-84.429681'), Decimal('-35.585433'))",AB-,"['http://www.tamez-montenegro.net/', 'http://www.gaitan.com/', 'http://ochoa-montes.com/', 'https://corporacin.com/']",violetasanchez,Soledad Rivero Espinal,F,"Boulevard Países Bajos 138 723
San María José de la Montaña, CAMP 81253",cervantezaldonza@yahoo.com,1962-11-24
29,"Teacher, early years/pre",Castañeda S.A. de C.V.,94097261682,"Circunvalación Nayarit 524 189
Vieja Serbia, CHIS 34558-8643","(Decimal('57.4662495'), Decimal('-166.271107'))",AB-,"['https://www.proyectos.com/', 'http://www.despacho.com/', 'http://leon.com/', 'https://www.sevilla-villanueva.biz/']",ursulaterrazas,Estela Peralta,F,"Andador Kiribati 833 Interior 908
Nueva Uruguay, GTO 61708",diego55@hotmail.com,2007-02-10
30,Social researcher,Industrias Muro y Avilés,61600077004,"Calle Yucatán 088 335
Nueva Mauritania, COL 69003-8800","(Decimal('40.0386185'), Decimal('127.680431'))",O-,"['http://www.grupo.biz/', 'https://despacho.org/']",violeta73,Dr. Elsa Véliz,M,"Pasaje República Federal Democrática de Nepal 930 Interior 194
Vieja República Democrática Popular Lao, GRO 83880-3705",montoyairene@yahoo.com,1911-02-18
31,Theatre director,Madera-Carreón,87302698912,"Calzada Guatemala 943 Edif. 493 , Depto. 762
San Elisa los bajos, CHIS 56935","(Decimal('23.3352285'), Decimal('-112.908139'))",O-,['http://rubio.biz/'],jllamas,Aurora Páez Arevalo,M,"Circuito Líbano 167 Edif. 525 , Depto. 807
Nueva Sierra Leona, MOR 14512-0581",lgaitan@hotmail.com,1977-09-22
32,Energy manager,Vázquez-Rincón e Hijos,19895258713,"Calzada Morelos 386 Edif. 902 , Depto. 139
Vieja Islandia, SON 93302","(Decimal('-21.925772'), Decimal('81.698291'))",AB+,"['http://becerra-covarrubias.org/', 'http://industrias.net/', 'http://gallardo-quezada.biz/']",berriosmaria-jose,Ing. Francisco Javier Negrete,M,"Diagonal Zacatecas 340 Edif. 783 , Depto. 620
Vieja Uganda, NAY 59265",pvaldivia@hotmail.com,1925-11-27
33,"Psychologist, counselling",Despacho Armas-Aranda,92318966147,"Eje vial Sur Esparza 346 Edif. 488 , Depto. 710
San Jonás los altos, CHIH 78649-4190","(Decimal('3.3603585'), Decimal('50.345020'))",B-,"['http://www.laboratorios.com/', 'https://www.concepcion-pizarro.biz/', 'https://www.ponce-pineda.org/']",leonorrendon,Andrés Hernán Brito,M,"Diagonal Norte Ceballos 266 Edif. 641 , Depto. 774
San Wendolin de la Montaña, AGS 17466-8679",esteban49@hotmail.com,1968-04-04
34,Higher education careers adviser,Noriega S.C.,63987942990,"Avenida Nuevo León 141 Interior 735
Nueva República de Corea, TAMPS 96392-9789","(Decimal('58.0362015'), Decimal('-72.098823'))",O-,"['http://garza-villarreal.com/', 'http://www.industrias.org/', 'http://www.rivero.com/']",wchavez,Graciela Jerónimo Olivas Montoya,F,"Prolongación Baja California Sur 304 952
Vieja Italia, TLAX 61715-3368",ballesterossara@yahoo.com,1939-11-02
35,"Development worker, international aid",Corporacin Castillo-Madrid,12037190662,"Eje vial Mauricio 244 Interior 447
Vieja Camboya, NL 55171","(Decimal('57.522070'), Decimal('-167.391279'))",A+,['https://www.grupo.org/'],irene82,Claudio Bravo,F,"Pasaje Sur Casares 631 442
Vieja República Árabe Siria, YUC 54192",rufino72@hotmail.com,1977-10-10
36,Immunologist,Rendón y Colón S.C.,44069722385,"Viaducto Angola 546 Interior 830
San Luis Manuel de la Montaña, Q. ROO 62165","(Decimal('76.5939395'), Decimal('44.732568'))",A+,"['http://industrias.info/', 'https://www.ibarra-yanez.com/', 'http://proyectos.biz/', 'http://www.proyectos.com/']",teodoro06,Noemí Gallardo Ocampo,F,"Continuación Arias 951 Interior 123
Nueva Myanmar, COAH 30114-4530",paulina18@yahoo.com,1985-01-20
37,Multimedia programmer,Ceballos-Hidalgo S.C.,61063117834,"Corredor Sur Caldera 624 Edif. 898 , Depto. 381
San Estefanía los altos, MICH 24608-3883","(Decimal('62.6351625'), Decimal('-82.059537'))",A+,"['https://www.alba-urias.net/', 'http://www.grupo.biz/', 'http://www.club.com/', 'http://www.medina-laboy.com/']",arandalorenzo,Ernesto Raúl Alcaraz Jiménez,F,"Ampliación Herrera 466 640
Nueva Bhután, DF 80794-2431",luis-manuel24@yahoo.com,1987-09-02
38,Telecommunications researcher,"Club Mayorga, Segovia y Martínez",20903823506,"Prolongación Sur Gaytán 346 810
Nueva Botswana, Q. ROO 57403-7751","(Decimal('47.922341'), Decimal('-94.147540'))",B+,"['https://www.galindo-cepeda.net/', 'http://www.proyectos.com/', 'http://www.puente.com/', 'https://www.despacho.com/']",guadalupecarrillo,Lic. Iván Toro,M,"Boulevard Tlaxcala 834 Edif. 570 , Depto. 797
Vieja Polonia, TAB 30778-4846",dario74@gmail.com,2004-01-28
39,Information officer,Grupo Yáñez y Crespo,76777434119,"Privada Morelos 923 984
San Aldo los bajos, NAY 39338","(Decimal('-79.6589015'), Decimal('37.345980'))",A+,"['https://www.alba.com/', 'http://www.prado-palomo.info/', 'https://www.rodarte.com/']",ursula46,Sr(a). Homero Rodrígez,F,"Circuito Coahuila de Zaragoza 591 Edif. 687 , Depto. 907
Vieja Austria, MICH 69518",kosorio@yahoo.com,1927-04-26
40,"Solicitor, Scotland",Godoy-Abreu,56065692701,"Callejón Puebla 699 Edif. 568 , Depto. 137
San Aldo de la Montaña, JAL 84048-6106","(Decimal('-0.860124'), Decimal('-125.510778'))",B+,"['https://www.garza-pedroza.com/', 'http://www.jurado.com/', 'https://grupo.com/']",ana-mariaangulo,Armando Eloisa Mondragón,F,"Boulevard Swazilandia 686 359
San Ignacio los altos, BCS 92261",amaliabarrientos@hotmail.com,1961-05-01
41,Tree surgeon,Club Lugo-Barrera,48093286986,"Cerrada Letonia 935 Interior 227
San Sergio los bajos, VER 64841","(Decimal('-61.8090655'), Decimal('150.305912'))",A+,"['http://www.industrias.com/', 'http://www.chavez.com/', 'https://barrios-verduzco.com/']",patriciacontreras,Sr(a). Claudio Covarrubias,M,"Andador Quintana Roo 032 Edif. 347 , Depto. 479
Vieja Albania, COAH 84778-8596",luis-manuel97@gmail.com,1985-02-06
42,Occupational therapist,Tejeda S. R.L. de C.V.,83761818299,"Prolongación Uribe 212 532
San Aldo los altos, OAX 37539-8236","(Decimal('65.8901895'), Decimal('73.448152'))",B+,"['https://www.laboratorios.com/', 'https://www.viera.com/']",maganasilvia,Liliana Arias,F,"Boulevard Distrito Federal 654 626
San Zeferino los altos, GTO 38663",espinozaitzel@gmail.com,1958-09-22
43,Event organiser,Tamayo y Hernandes S. R.L. de C.V.,82176882957,"Calle Oaxaca 936 847
Nueva Mauricio, HGO 23872-7476","(Decimal('10.198990'), Decimal('-5.394245'))",AB-,"['https://aguayo-franco.com/', 'http://laboratorios.com/', 'https://laboratorios.org/', 'http://www.lovato.com/']",acorona,Mtro. Bruno Coronado,M,"Callejón Norte Pichardo 560 Interior 103
San Pamela los bajos, TAB 09434",ceciliade-la-garza@hotmail.com,2011-08-31
44,Automotive engineer,Guevara-Mayorga,55144627464,"Boulevard México 691 Interior 964
San José Emilio de la Montaña, GRO 06410","(Decimal('19.987438'), Decimal('62.317932'))",O-,"['http://franco-mora.info/', 'https://www.club.com/', 'http://despacho.net/', 'https://valverde.com/']",elvira91,Conchita Valle de Jesús,M,"Periférico Sur Batista 686 Interior 677
Vieja Indonesia, NL 88365-0723",lilianaaranda@yahoo.com,1945-09-01
45,"Surveyor, insurance",Corporacin García y Salcedo,72186219431,"Retorno Nayarit 606 308
Nueva Federación de Rusia, DF 07797","(Decimal('33.1529825'), Decimal('-41.443452'))",B-,"['http://proyectos.org/', 'http://proyectos.info/', 'https://preciado.org/', 'http://corporacin.com/']",angelica64,Diana Amelia Romero Melgar,F,"Callejón Norte Ortiz 786 Edif. 183 , Depto. 614
San Beatriz los altos, TLAX 25966",fgonzalez@gmail.com,2015-11-11
46,"Therapist, speech and language","Despacho Zaragoza, Páez y Terrazas",52804862093,"Ampliación Guanajuato 825 Edif. 136 , Depto. 983
San Esteban los bajos, BC 31167","(Decimal('-70.7858415'), Decimal('153.215606'))",A+,"['https://perea.com/', 'http://torres.org/', 'https://www.paez-saucedo.biz/', 'https://www.tamayo.org/']",marcela68,Claudia Héctor Bahena Vega,F,"Calle Sur Romo 343 Interior 861
San Espartaco de la Montaña, SON 08384",elsaarmendariz@yahoo.com,2006-10-30
47,Facilities manager,Industrias Naranjo-Elizondo,39761627668,"Calle Narváez 341 621
San Renato los altos, ZAC 22733","(Decimal('-41.2841725'), Decimal('138.152799'))",O-,"['http://www.collado.com/', 'http://www.proyectos.com/', 'https://www.proyectos.net/', 'http://www.corporacin.biz/']",salazarbernabe,Helena Villa,M,"Cerrada Tlaxcala 163 894
San Silvano los altos, MOR 71354",bianca54@gmail.com,1982-11-03
48,Retail manager,Treviño S.C.,17724977867,"Continuación Ponce 611 277
Nueva Cabo Verde, MEX 34422-2008","(Decimal('-11.355115'), Decimal('98.757359'))",AB-,['http://www.laboratorios.com/'],elsa18,Dr. Ana Luisa Leal,M,"Peatonal República Federal Democrática de Nepal 164 Interior 517
San Sonia los altos, PUE 85617",navafabiola@gmail.com,1961-03-01
49,Psychiatric nurse,"Club Solorio, Jaimes y Córdova",64289380665,"Andador Chile 756 Interior 185
Vieja Rwanda, YUC 49940-5586","(Decimal('-63.227959'), Decimal('-91.951037'))",AB+,"['https://proyectos.com/', 'http://laboratorios.com/']",asotelo,Abraham Loya Reyes,F,"Diagonal Somalia 355 Edif. 880 , Depto. 964
Vieja Israel, MOR 36423-5232",hermelindavigil@gmail.com,1915-10-29
50,Cabin crew,Corona-Ruelas,80784436067,"Diagonal Yucatán 651 Edif. 645 , Depto. 835
San Lorenzo los bajos, VER 97091","(Decimal('38.970808'), Decimal('105.141007'))",O-,"['https://www.industrias.org/', 'http://laboratorios.com/', 'https://www.monroy.com/']",amayaclaudia,Iván Varela,F,"Calle Norte Ballesteros 173 Interior 242
San Rosalia los bajos, YUC 01145",saenzmaria-elena@gmail.com,2006-03-27
51,Furniture conservator/restorer,"Corporacin Ferrer, Matos y Linares",41679954416,"Continuación Aguascalientes 788 477
Vieja Senegal, TLAX 05615","(Decimal('-83.5983035'), Decimal('-58.846677'))",AB-,['http://morales-carbajal.com/'],abraham37,Ana Rubio,F,"Calzada Salcedo 150 Interior 236
San Irma de la Montaña, MEX 40496",wmenchaca@yahoo.com,2006-01-18
52,Police officer,Villareal-Limón y Asociados,24103835690,"Boulevard Mena 811 373
Nueva España, TLAX 99203-2217","(Decimal('70.0967995'), Decimal('151.458673'))",O-,"['https://galvan-alva.com/', 'https://www.gastelum-sauceda.com/', 'https://www.zavala-laboy.com/']",deliacintron,Caridad Armenta,M,"Periférico Vietman 462 Edif. 221 , Depto. 342
Nueva República Unida de Tanzanía, ZAC 06428-1818",aldonza85@gmail.com,1987-03-26
53,"Scientist, product/process development","Corral, Armendáriz y Castellanos",14258990507,"Ampliación Letonia 174 Interior 207
San Vanesa de la Montaña, Q. ROO 74300","(Decimal('29.5132605'), Decimal('-121.527801'))",AB+,"['http://www.despacho.com/', 'http://laboratorios.net/', 'http://galindo.com/', 'http://www.quintero.com/']",eliasmota,Lic. Ángela Lemus,F,"Diagonal Baja California Sur 708 Edif. 084 , Depto. 304
San Asunción de la Montaña, BC 13024",alvaro50@yahoo.com,2000-06-16
54,Tax adviser,Díaz y Preciado S. R.L. de C.V.,28935769209,"Calle Colunga 329 Interior 120
San Benjamín los bajos, CAMP 12282-3881","(Decimal('-11.913905'), Decimal('46.884520'))",A+,"['http://www.gastelum-calvillo.info/', 'https://quezada.com/', 'https://navarro.com/']",pradoangela,Frida Arredondo,F,"Privada Madagascar 197 Edif. 151 , Depto. 620
San Alta  Gracia los altos, MEX 13486",rcedillo@gmail.com,1989-10-21
55,"Sound technician, broadcasting/film/video",Salazar-Fonseca S.C.,29080520199,"Circuito Sonora 136 Interior 599
San Laura de la Montaña, VER 07828","(Decimal('-26.723046'), Decimal('-103.895820'))",A-,"['https://delgadillo-duenas.net/', 'http://www.proyectos.biz/']",arcelia03,Raúl Aida Alva Rosario,F,"Circunvalación Yucatán 165 427
San Emilia de la Montaña, CHIH 93918",luisavaldivia@gmail.com,1921-03-29
56,"Production assistant, television","Becerra, Pérez y Arredondo",54920066963,"Callejón Mata 952 145
San Elvira los altos, TAMPS 83887-6740","(Decimal('-19.842740'), Decimal('5.532855'))",AB+,"['https://carrero.com/', 'https://www.proyectos.com/', 'https://proyectos.com/', 'http://industrias.com/']",kmaya,Amelia Ángel Valdivia,F,"Peatonal Norte Bétancourt 223 337
Nueva Nicaragua, CHIH 64744",ortegarocio@gmail.com,1986-12-25
57,Technical brewer,Córdova-Castillo,64052856149,"Diagonal Norte Guzmán 467 Edif. 117 , Depto. 223
San Alonso los altos, COAH 02729-0171","(Decimal('-62.809457'), Decimal('-160.891220'))",B+,"['http://fierro.info/', 'https://www.chacon.com/', 'https://www.ledesma.net/', 'http://www.merino.com/']",pizarroguillermina,Elena Balderas Griego,F,"Viaducto Nayarit 210 Edif. 893 , Depto. 463
San René los bajos, ZAC 82248",miguel-angel07@gmail.com,2009-08-03
58,"Engineer, electronics",Ávalos-Hinojosa S.A.,71820107739,"Pasaje México 160 Interior 629
Nueva República de Corea, CAMP 02238-3389","(Decimal('53.7788845'), Decimal('-92.476864'))",B+,['http://www.despacho.org/'],jose-mariabadillo,Augusto Carranza Bermúdez,M,"Callejón Baja California 870 Interior 399
San Estela de la Montaña, GTO 41793-2316",castroleticia@gmail.com,1954-10-05
59,Control and instrumentation engineer,Miramontes A.C.,41150919607,"Pasaje Querétaro 787 377
Vieja Mozambique, NAY 87123-4455","(Decimal('39.7954995'), Decimal('169.486804'))",AB-,"['http://lopez-hidalgo.com/', 'https://www.jimenez.com/']",lebronmartha,Dr. Octavio Rosario,F,"Viaducto Burkina Faso 552 Interior 894
San Concepción los altos, MICH 40340-2259",dariomejia@hotmail.com,1952-04-21
60,Insurance risk surveyor,"Montañez, Caldera y Blanco",06960384920,"Viaducto Sur Arenas 666 444
San Patricia los bajos, CHIS 54807-7175","(Decimal('-35.8541395'), Decimal('175.232807'))",B+,['http://rangel-limon.biz/'],xcantu,Wilfrido Hidalgo,F,"Avenida Sur Contreras 785 500
Nueva Federación de Rusia, CHIS 50853",villarrealfidel@gmail.com,1958-12-09
61,Energy manager,Torres-Crespo,96760302016,"Continuación Norte Ramírez 960 Edif. 271 , Depto. 422
San Beatriz los altos, NAY 44384-7505","(Decimal('9.342904'), Decimal('118.033826'))",B-,"['https://bonilla-de.biz/', 'https://corporacin.com/', 'http://www.ceballos.com/', 'http://www.vela-carmona.com/']",judith72,Sara Liliana Ruelas,F,"Viaducto Côte d'Ivoire 447 019
Vieja Lesotho, NL 20089",tgonzalez@hotmail.com,2002-05-03
62,Armed forces operational officer,Alba-Bueno S. R.L. de C.V.,72526480958,"Callejón Henríquez 657 908
San Hugo de la Montaña, MICH 49866","(Decimal('13.458810'), Decimal('-44.243545'))",A+,"['https://luevano-merino.com/', 'http://www.laboratorios.net/', 'https://grupo.info/']",badillonoelia,Bernabé Javier Aguayo,F,"Pasaje Bernal 039 801
San Josefina los altos, HGO 19193",indira95@hotmail.com,1974-03-10
